customer_id,transaction_date,amount,service
d92ffebf-abba-409e-8968-077185149d90,2024-06-01,258.4,Phone
4cd5b537-1d0e-4859-9bb0-59fec9667052,2022-03-26,195.53,Internet
112ef237-446a-4c9a-adba-51650d633100,2023-08-20,234.96,Phone
51f9bead-523d-4f19-97c9-e87985a87520,2023-11-25,53.13,TV
4a2950f4-aa96-4b0d-9abe-6dca00a34fe6,2022-11-03,164.87,TV
8caef771-47db-4da5-ae3a-2dd787e50c5e,2023-09-30,330.15,Internet
f98b4e20-b5ae-45e1-ae88-abaf9fe91e33,2024-05-31,212.05,Phone
31b39fb0-3b34-4280-8262-4d5e72d4c4a6,2023-11-12,10.08,Internet
2aa3bf8d-63cb-42f7-9d52-362a1274ad68,2024-05-05,306.06,Phone
b93ce48b-d163-44fd-a9e4-b13fdc53879c,2023-02-25,159.25,Phone
c1dfdbdf-30de-4106-9082-ddd31558d983,2023-09-20,111.36,Phone
ac5be2df-f175-4d5a-a8d0-2cd6f6e5f47a,2023-11-08,475.67,TV
5f1a2cbf-2164-4a4c-a44c-e187d03fdd12,2024-03-15,36.59,Internet
c9aaa1a1-3a61-4eb0-b224-0e01c23b5bd3,2024-06-04,232.69,Phone
8e66ec33-d733-47d6-be16-e7335cee4110,2021-09-18,313.68,TV
2f550c0f-26a5-48e9-bd9c-b5ee1619dc81,2023-05-08,332.01,Phone
3a24280d-766f-4492-8301-4730ab4f526c,2024-02-06,65.87,Phone
a003a60e-712a-4ba7-9958-aa8704b82730,2024-05-25,11.08,TV
015ba9cc-a47c-490d-8007-b659c20f8437,2024-03-27,320.49,TV
38f74c8f-8ccc-4efa-b630-d51f61f2b6dc,2024-06-02,265.77,Phone
dd69a8ae-2542-4dd8-9118-beb96616bcdd,2024-02-21,32.43,Internet
c623890c-f9e6-4754-8501-020e6747e3fe,2024-01-19,78.82,Phone
38aef55d-c663-45e0-9f8c-a542a928e145,2023-07-16,363.56,Internet
e2c563b7-237c-4aac-a5be-9ec3689d8a3f,2023-06-15,309.32,Internet
8d124593-5315-48ee-9bb1-4aa21a88542d,2022-06-27,465.81,TV
0bf8f2b8-125c-46dd-91db-22d0c91f758a,2023-08-18,233.95,Internet
2f550c0f-26a5-48e9-bd9c-b5ee1619dc81,2024-01-21,175.59,TV
fa210674-d21f-43bd-949c-a4e8e43dcb67,2023-05-02,464.05,Phone
291e52cf-6cf6-4e02-9020-a29d8a853073,2024-01-27,70.38,TV
88afce69-91b7-45bc-b524-9a69010bd46d,2022-11-20,332.64,Phone
341e2234-6f3c-429b-aa7e-8813846e4e27,2024-04-15,482.29,Internet
a43a2a8c-5044-41f1-8b12-f6ff8d73c6ae,2024-05-16,370.74,Phone
2554d41c-bec4-4c29-abe3-b239df275f59,2024-05-19,222.08,Phone
5025b9d8-08bb-4b89-92f2-fccede2e371c,2024-05-19,462.94,Internet
e7e96b50-89da-45b0-bd11-b0f1213809d8,2024-04-18,293.49,Phone
c4214fa6-aafa-480c-8d42-546853cf3121,2024-05-12,72.91,TV
01a998ee-8436-4962-b2cc-4683b5d1758c,2022-04-10,304.27,TV
fd279513-420d-4971-ac3e-82aee46ecdbf,2024-03-21,441.88,TV
c8a08d7d-782a-428d-bd2c-c66c2f4f9415,2024-04-24,458.8,Internet
450fc64b-76bd-4caf-b63a-9fccb2ad61d3,2024-04-06,204.96,TV
f5c662ba-8be5-444d-b9a3-eaf14678063b,2023-07-22,154.15,Internet
c8ede71c-4c96-4de4-98b3-399168d69279,2022-12-18,212.25,Phone
3ce5e6e5-3e95-4719-a84c-083bb8ce01b1,2024-03-04,376.73,TV
946dcd3a-d19e-4820-9c39-05dea7477727,2024-04-30,353.73,TV
6c4fdf73-1d04-4807-8005-5b718402c35c,2024-05-31,371.04,Phone
43722086-39db-4774-8c8f-aa857751acbd,2023-07-13,116.5,Internet
0abcbea0-0ec3-4f53-8176-f82c4ffba297,2022-09-29,360.05,Phone
06c5fb4d-b4e1-4e79-bd31-33b601f30110,2024-06-01,461.38,Internet
95534011-9e91-47b1-a205-d93e32053322,2023-09-20,328.54,Internet
98472f86-dace-4392-a13b-04258394fef4,2024-03-26,275.82,Phone
fa5e237f-bc17-4fe0-b7af-86b35a3bd30d,2023-12-06,358.07,TV
c1dfdbdf-30de-4106-9082-ddd31558d983,2024-05-24,245.38,Phone
6d73b144-16ac-4e32-acd4-c9fbd3067aa3,2024-04-09,336.91,TV
5410a24e-984b-46c0-8b43-a285e5b7b283,2024-04-15,376.46,Phone
e5d9226b-4b9d-4f51-88be-04e115e7b769,2024-06-05,439.96,TV
c0489c68-bc1c-42b7-aac5-53d807695673,2024-02-26,16.26,Internet
ffb0b960-70b4-454b-9048-0a91532ea8da,2024-01-11,196.63,Internet
8de4f4a9-334b-4f30-9c07-4def1c225fef,2023-08-25,37.74,TV
3ffff64f-612c-441e-b823-aa2a24e2dd29,2024-03-06,394.91,TV
fe5cbbf3-5d3f-45e2-854b-d9a0879da827,2024-05-20,132.77,Internet
83afe782-f2c2-407a-99ea-c19a1e4122aa,2024-05-23,394.34,Internet
8927a5c3-4666-4817-ba41-e94594d263e4,2024-03-29,275.17,TV
8f25979f-d5de-49f0-a7a8-027ea0aed1b6,2024-05-18,231.77,Phone
ff94a5fb-9c20-4db3-9cf9-2a35a592a578,2024-04-19,341.01,Phone
61bfb9c9-0e9c-4557-9c32-dad4918b961a,2024-05-18,119.91,Phone
a349bb9f-346e-44e5-b82e-0b759ebbe047,2022-11-28,200.55,Phone
34ce06f8-8877-41aa-a933-251d175b73e5,2024-04-14,400.45,Phone
ac3415cf-5146-4c99-8778-63578f70f194,2024-05-03,349.54,Internet
ce543d06-256b-486a-8122-33777688ed99,2022-06-19,196.98,TV
b7140b5c-450f-4476-9348-b330cd35db0c,2024-05-20,396.17,Phone
c14fd272-a1ec-4df1-b40a-3e912aa503d9,2023-05-17,483.26,Internet
7189c045-68bc-4c16-8a1f-7d1ef349fe10,2024-04-11,374.4,Internet
089ea220-b8d7-4b77-bb1e-ac094a742de2,2024-05-13,435.74,TV
015ba9cc-a47c-490d-8007-b659c20f8437,2023-07-25,120.52,Phone
601197a6-77b9-4db5-b54f-4c53e4a2af85,2023-02-11,357.68,TV
274e9a2c-d610-4f5c-be13-3d8e68303fa8,2024-05-17,298.31,Phone
96b0d2ba-d538-48e8-aa24-89ba9e22b8aa,2023-10-01,106.27,Phone
a4fe70be-f124-49a3-a319-7dda48ff351c,2024-05-04,104.81,TV
6c51f6ff-788f-4ec3-8e2a-1e851912ca2f,2023-10-21,491.89,Internet
495a5584-3696-4dd9-93a8-e25675d4c648,2024-01-30,481.61,Phone
cbf97a3b-e337-452c-b320-ade94aa0f2bf,2024-04-16,68.48,Internet
d85835bd-d317-4c79-bf1e-4ca878491532,2022-12-24,146.77,TV
